trade_date,expiry_date,days_to_expiry,stock_price,atm_strike,moneyness,call_bid,call_ask,call_mid,put_bid,put_ask,put_mid,implied_vol,open_interest,volume,call_spread_pct,put_spread_pct,risk_free_rate,liquid,skip_reason
2023-12-15,2024-01-18,34,806.2192993164062,810,0.9953324682918596,13.75,13.95,13.870424773329889,12.45,12.65,12.536601160590692,0.1345148221000084,5948,150,1.441916907869759,1.5953287293585527,0.068,True,
2023-12-18,2024-01-18,31,805.8055419921875,810,0.9948216567804784,12.8,12.95,12.875233446864629,12.3,12.5,12.405146694456164,0.1349540015769564,5110,384,1.1650274196506047,1.6122340583798085,0.068,True,
2023-12-19,2024-01-18,30,804.44287109375,800,1.0055535888671876,17.25,17.5,17.384243877058452,8.35,8.6,8.482611612967276,0.1358554419627555,5910,506,1.4380838290580973,2.9472055471433793,0.068,True,
2023-12-20,2024-01-25,36,806.438232421875,810,0.9956027560763889,14.5,14.7,14.615346721616277,12.65,12.85,12.762743335309608,0.1354518711560086,5290,500,1.368424600589166,1.567061208906992,0.068,True,
2023-12-21,2024-01-25,35,820.892822265625,820,1.001088807641006,17.25,17.5,17.393614126562568,11.1,11.25,11.171336912058962,0.1392222771158767,5763,246,1.437309107704153,1.342722014211943,0.068,True,
2023-12-22,2024-01-25,34,813.1788330078125,810,1.0039244851948304,18.65,18.9,18.782285985530223,10.4,10.55,10.488928681384834,0.1447058978335249,4338,323,1.3310413875744342,1.4300793203619735,0.068,True,
2023-12-26,2024-01-25,30,818.8244018554688,820,0.9985663437261814,15.0,15.25,15.135935070732046,11.65,11.85,11.741303015663505,0.1430709808362069,4894,211,1.6516984172548304,1.7033884546986733,0.068,True,
2023-12-27,2024-02-01,36,828.9718627929688,830,0.9987612804734564,17.25,17.5,17.386871250838226,12.75,12.95,12.866949321476454,0.1450122079075144,4764,271,1.4378665165991118,1.5543699986925084,0.068,True,
2023-12-28,2024-02-01,35,829.9208374023438,830,0.9999046233763178,17.4,17.65,17.541326588226866,12.15,12.3,12.226040883969404,0.144157804592681,5907,387,1.42520577758236,1.2268894029029302,0.068,True,
2023-12-29,2024-02-01,34,831.8676147460938,830,1.0022501382483058,18.15,18.4,18.271346597090822,11.1,11.25,11.162923004137497,0.1431835763929958,5277,407,1.3682625890300015,1.3437340734537306,0.068,True,
2024-01-01,2024-02-01,31,826.4410400390625,830,0.9957120964326054,14.55,14.75,14.650181689082274,13.4,13.6,13.499513123465022,0.1465182402034608,5179,193,1.36517078248282,1.4815349129322064,0.067,True,
2024-01-02,2024-02-01,30,826.927734375,830,0.9962984751506024,14.4,14.65,14.525942311920971,12.95,13.15,13.040084972475029,0.1457378264317243,4863,284,1.7210587418816408,1.533732337037377,0.067,True,
2024-01-03,2024-02-08,36,814.1766357421875,810,1.0051563404224537,20.9,21.2,21.035973088632147,11.45,11.6,11.52432668641643,0.1560881649591284,4512,129,1.4261284644926688,1.3015944799343753,0.067,True,
2024-01-04,2024-02-08,35,822.91259765625,820,1.0035519483612805,20.15,20.45,20.278086542182507,12.0,12.2,12.11415677597074,0.1568332628171171,4858,295,1.479429527909057,1.6509609682178867,0.067,True,
2024-01-05,2024-02-08,34,818.7027587890625,820,0.998417998523247,17.5,17.75,17.639909072673674,13.75,13.95,13.835388505708067,0.1575182934789992,4799,305,1.4172408654151163,1.445568369240121,0.067,True,
2024-01-08,2024-02-08,31,809.577392578125,810,0.9994782624421297,17.35,17.6,17.480731920807216,13.2,13.4,13.307195840863756,0.1630234157464363,4995,229,1.4301460667240509,1.5029462434590524,0.067,True,
2024-01-09,2024-02-08,30,803.2748413085938,800,1.004093551635742,19.15,19.4,19.27011764143225,11.5,11.7,11.60190480084259,0.1654655821301416,5009,357,1.2973454789008687,1.7238548620522578,0.067,True,
2024-01-10,2024-02-15,36,805.92724609375,810,0.994971908757716,17.15,17.4,17.271084900745564,15.9,16.15,16.008828146967403,0.1648660779193583,5522,430,1.447506056722632,1.5616383516950705,0.067,True,
2024-01-11,2024-02-15,35,802.5447998046875,800,1.0031809997558594,19.55,19.85,19.69791127387731,11.95,12.1,12.029860630202675,0.1577562858654425,4482,131,1.5230041187049632,1.2468972385549009,0.067,True,
2024-01-12,2024-02-15,34,798.74853515625,800,0.9984356689453125,17.2,17.45,17.34274995000152,13.5,13.7,13.616886229943589,0.1588164627894824,4441,117,1.4415245605266775,1.4687645664557178,0.067,True,
2024-01-15,2024-02-15,31,814.1279296875,810,1.0050962094907407,20.25,20.55,20.380378506336054,11.55,11.75,11.656305317017598,0.1660622826400899,4583,410,1.4720040646287982,1.7158095516596477,0.067,True,
2024-01-16,2024-02-15,30,817.2183837890625,820,0.9966077851086128,13.5,13.7,13.609770336457018,11.8,12.0,11.8881807270987,0.1363537151860456,4971,191,1.4695325127144252,1.6823431994443538,0.067,True,
2024-01-17,2024-02-22,36,748.279296875,750,0.9977057291666667,28.7,29.15,28.91466350509694,25.5,25.9,25.69554194488569,0.2916565862963584,5888,231,1.5563037761815053,1.5566902650193473,0.067,True,
2024-01-18,2024-02-22,35,723.2879638671875,720,1.004566616482205,31.05,31.55,31.294022703753512,23.2,23.55,23.39513308147764,0.30577161947607,4694,435,1.597749208317754,1.4960376535626674,0.067,True,
2024-01-19,2024-02-22,34,715.744384765625,720,0.9940894232855902,26.6,27.0,26.78160809805348,26.35,26.75,26.55762762500143,0.3061817311469839,5277,428,1.493562292956826,1.5061586285042925,0.067,True,
2024-01-23,2024-02-22,30,694.6708374023438,690,1.0067693295686142,28.8,29.2,29.006058639461457,20.4,20.7,20.545938290771232,0.3109204497037695,5914,185,1.3790222414286106,1.4601426119086218,0.067,True,
2024-01-24,2024-02-29,36,708.5657958984375,710,0.9979799942231514,29.65,30.1,29.88977175227882,26.45,26.85,26.647608485174658,0.3189572016558208,4981,157,1.5055317375104895,1.5010727894120075,0.067,True,
2024-01-25,2024-02-29,35,698.3453979492188,700,0.9976362827845983,28.75,29.2,28.972218546196927,25.95,26.35,26.143976112864436,0.3199450493820463,5380,505,1.5532120858555,1.5299891580117289,0.067,True,
2024-01-29,2024-02-29,31,707.9574584960938,710,0.9971231809804137,27.45,27.85,27.638287438929012,25.45,25.85,25.652110564697978,0.3241504016091319,4568,229,1.4472676749015756,1.5593258846719449,0.067,True,
2024-01-30,2024-02-29,30,702.9202880859375,700,1.004171840122768,28.95,29.4,29.188140866329036,22.25,22.6,22.423652689895164,0.3208837170303625,5418,149,1.5417220372507932,1.560851859597892,0.067,True,
2024-01-31,2024-03-07,36,711.80224609375,710,1.0025383747799297,31.85,32.35,32.08955281117392,25.4,25.8,25.610939348757256,0.3238129219021082,5964,155,1.558139507091837,1.5618326003314351,0.067,True,
2024-02-01,2024-03-07,35,713.651611328125,710,1.005143114546655,32.45,32.95,32.69680220274665,24.3,24.7,24.498305755020567,0.3242414175180975,4655,385,1.529201531390119,1.632765971655099,0.067,True,
2024-02-02,2024-03-07,34,703.820556640625,700,1.0054579380580357,31.75,32.25,31.990987057489747,23.65,24.0,23.81526792353276,0.3253917993188288,4995,317,1.5629402090703537,1.469645443938732,0.067,True,
2024-02-05,2024-03-07,31,703.1878051757812,700,1.0045540073939732,29.95,30.4,30.15222033672751,22.8,23.15,22.992439295177174,0.3249135547139314,4079,209,1.4924274065875935,1.5222395305982728,0.067,True,
2024-02-06,2024-03-07,30,702.8228759765625,700,1.0040326799665178,28.7,29.15,28.923966906858652,22.1,22.4,22.256890839799723,0.3182462111365808,4535,238,1.5558031906518748,1.3478971620938978,0.067,True,
2024-02-07,2024-03-14,36,695.9362182617188,700,0.9941945975167411,27.8,28.2,28.005089240657185,27.25,27.65,27.458367939407992,0.3182955881778897,5701,268,1.428311820621829,1.4567508195777443,0.067,True,
2024-02-08,2024-03-14,35,682.8444213867188,680,1.0041829726275275,30.25,30.7,30.47610917357838,23.1,23.45,23.276924573720574,0.3185887112175277,5390,303,1.4765664390982431,1.503635065240296,0.067,True,
2024-02-09,2024-03-14,34,683.112060546875,680,1.0045765596277574,29.6,30.05,29.840894276459892,22.35,22.65,22.49810445034819,0.3144617385151359,5884,168,1.5079977021834214,1.3334456716657042,0.067,True,
2024-02-12,2024-03-14,31,676.4932250976562,680,0.9948429780847886,24.65,25.05,24.83888409636046,24.3,24.65,24.48716815767142,0.3137585726678913,4046,168,1.6103783022145206,1.4293200330326834,0.067,True,
2024-02-13,2024-03-14,30,678.6588745117188,680,0.9980277566348805,25.35,25.75,25.535755097972128,22.95,23.3,23.142514784056857,0.3139845981226477,5478,416,1.5664310628972309,1.5123680518986655,0.067,True,
2024-02-14,2024-03-21,36,673.5974731445312,670,1.0053693629022855,30.3,30.75,30.529451460432995,22.35,22.7,22.519068263779616,0.313990184431613,5053,232,1.4739865227621651,1.554238372121945,0.067,True,
2024-02-15,2024-03-21,35,688.197998046875,690,0.9973884029664855,28.6,29.0,28.803777771799844,26.0,26.4,26.186975876298504,0.3239248797614585,5701,377,1.3887067285723058,1.5274768720508636,0.067,True,
2024-02-16,2024-03-21,34,691.0451049804688,690,1.00151464489923,29.65,30.1,29.895421872009308,24.35,24.75,24.557371005256243,0.3239712135094443,5172,298,1.5052471978036608,1.628838852149047,0.067,True,
2024-02-19,2024-03-21,31,689.682373046875,690,0.9995396710824276,27.25,27.65,27.46607953883245,23.7,24.05,23.868473138556453,0.3205522878693179,5005,430,1.4563418103936727,1.4663694571841774,0.067,True,
2024-02-20,2024-03-21,30,707.7870483398438,710,0.9968831666758363,27.6,28.0,27.810651731471637,25.95,26.3,26.124486156981447,0.3335516025747271,5164,298,1.4382978286961277,1.3397392694993475,0.067,True,
2024-02-21,2024-03-28,36,700.4137573242188,700,1.0005910818917412,31.5,31.95,31.72320263136436,26.5,26.9,26.69894226761511,0.333436429337569,5046,458,1.4185200820647583,1.4981866921566578,0.067,True,
2024-02-22,2024-03-28,35,690.8748168945312,690,1.0012678505717845,30.9,31.35,31.137951111146037,25.65,26.05,25.844330367988448,0.3343323924561673,4139,312,1.445181792449158,1.547728241763439,0.067,True,
2024-02-23,2024-03-28,34,691.3857421875,690,1.0020083220108695,30.7,31.15,30.908706186895927,25.05,25.4,25.230018113111555,0.3338611349661461,4748,238,1.4559004743808448,1.3872364198506446,0.067,True,
2024-02-26,2024-03-28,31,692.213134765625,690,1.0032074416893115,29.75,30.2,29.95448742588775,23.65,24.0,23.826119306861813,0.3343549563003623,4947,268,1.5022790862750437,1.468976107658468,0.067,True,
2024-02-27,2024-03-28,30,691.1668090820312,690,1.0016910276551179,28.65,29.1,28.88989267225236,23.75,24.1,23.933800643874633,0.3345016792639561,4438,321,1.5576381854551185,1.4623669897140918,0.067,True,
2024-02-28,2024-04-04,36,685.9348754882812,690,0.9941085152004077,28.1,28.5,28.30272507948024,27.6,28.05,27.82321088080477,0.3267895429146973,4416,433,1.413291472381939,1.6173546681143631,0.067,True,
2024-02-29,2024-04-04,35,683.0147094726562,680,1.004433396283318,30.9,31.4,31.15501050590251,23.6,23.95,23.78553782010715,0.3255864091563136,4044,350,1.6048782904607657,1.471482388361741,0.067,True,
2024-03-01,2024-04-04,34,696.3256225585938,700,0.9947508893694197,19.05,19.35,19.206781054683574,18.4,18.65,18.525996002757836,0.2226507907314101,5384,530,1.5619483511884242,1.349455111416327,0.067,True,
2024-03-04,2024-04-04,31,697.2745971679688,700,0.9961065673828124,16.85,17.1,16.96345143970666,15.6,15.85,15.716878405968828,0.2016776890872228,5917,343,1.4737566873615144,1.5906466509600088,0.067,True,
2024-03-05,2024-04-04,30,701.2411499023438,700,1.0017730712890625,18.55,18.85,18.70401612425013,13.5,13.7,13.618666131409952,0.2006627655355033,5178,417,1.6039336044575192,1.4685726052033932,0.067,True,
2024-03-06,2024-04-11,36,702.0928344726562,700,1.0029897635323661,19.25,19.55,19.38327821125938,12.6,12.8,12.679940699072633,0.1805718247090686,5504,202,1.5477258115489276,1.5772944428251814,0.067,True,
2024-03-07,2024-04-11,35,703.7962646484375,700,1.0054232352120536,19.15,19.45,19.292108399537767,10.95,11.1,11.012999266986526,0.1710800056935885,5601,531,1.5550399872685174,1.3620267863782822,0.067,True,
2024-03-11,2024-04-11,31,694.889892578125,690,1.0070868008378624,18.35,18.65,18.486473651228323,9.55,9.85,9.681347719702387,0.1698514555855944,5356,191,1.6228081442674915,3.098742124399403,0.067,True,
2024-03-12,2024-04-11,30,710.3421630859375,710,1.0004819198393486,16.45,16.7,16.57962314973753,12.25,12.45,12.338342829153646,0.1772928549223112,4232,339,1.507875044819446,1.6209632263372469,0.067,True,
2024-03-13,2024-04-18,36,710.755859375,710,1.001064590669014,18.35,18.6,18.47327900551494,12.95,13.15,13.04105226184828,0.1759554606529726,5972,372,1.3533060369269907,1.5336185760492882,0.067,True,
2024-03-14,2024-04-18,35,708.3467407226562,710,0.9976714658065581,16.4,16.65,16.544003747257705,13.55,13.75,13.650377905000312,0.1723924126016349,5264,133,1.5111215145937054,1.4651609017120082,0.067,True,
2024-03-15,2024-04-18,34,706.9840698242188,710,0.9957522110200264,15.4,15.65,15.523536597327222,14.0,14.25,14.122087672729036,0.1722619969596089,5328,490,1.6104577615583031,1.770276504392275,0.067,True,
2024-03-18,2024-04-18,31,703.7719116210938,700,1.005388445172991,17.75,18.0,17.88493498124558,10.05,10.2,10.141047494382748,0.1679519938394287,4422,263,1.3978244833551472,1.4791371412379783,0.067,True,
2024-03-19,2024-04-18,30,705.3779907226562,710,0.9934901277783891,13.1,13.3,13.205486617874044,13.8,14.05,13.928378660571354,0.1680571190519172,4335,233,1.514521999736797,1.7948966357994232,0.067,True,
2024-03-20,2024-04-25,36,696.4716796875,700,0.9949595424107143,15.45,15.65,15.55247538440716,14.35,14.6,14.470292657376715,0.1721128000214764,5918,151,1.2859689217095314,1.7276775661655617,0.067,True,
2024-03-21,2024-04-25,35,703.6258544921875,700,1.0051797921316965,19.15,19.45,19.29057191133768,11.1,11.25,11.181872935036496,0.1722692753039207,4709,127,1.5551638457317132,1.341456846017279,0.067,True,
2024-03-22,2024-04-25,34,702.2145385742188,700,1.0031636265345982,17.2,17.5,17.354772947038327,10.7,10.85,10.785071879487589,0.1624379607445556,4822,151,1.7286310856126592,1.3908113147144554,0.067,True,
2024-03-26,2024-04-25,30,693.7218627929688,690,1.005394004047781,17.15,17.4,17.258226550957545,9.6,9.9,9.74708081164232,0.1668207144228288,4682,123,1.4485845301765907,3.077844595703651,0.067,True,
2024-03-27,2024-05-02,36,701.1680908203125,700,1.001668701171875,17.5,17.75,17.62860843629926,11.75,11.95,11.850014576456315,0.1664119779934447,4054,106,1.418149372954602,1.6877616369971438,0.067,True,
2024-03-28,2024-05-02,35,704.6723022460938,700,1.0066747174944197,19.3,19.6,19.451785813570098,10.2,10.35,10.296639083362663,0.1666795721144627,5156,248,1.5422748475397694,1.4567860326615774,0.067,True,
2024-04-01,2024-05-02,31,715.67138671875,720,0.993988037109375,13.9,14.1,13.982242350347008,14.1,14.35,14.225394741091634,0.1694878949359425,4968,144,1.4303857349106508,1.757420476198437,0.067,True,
2024-04-02,2024-05-02,30,720.367919921875,720,1.000510999891493,15.3,15.5,15.405742702903638,11.0,11.15,11.0837884022323,0.1598775543406136,5827,441,1.2982171898944137,1.3533278925623482,0.067,True,
2024-04-03,2024-05-09,36,721.414306640625,720,1.001964314778646,17.55,17.8,17.657852878458073,11.4,11.6,11.501314540030194,0.1596865762587825,4594,328,1.415800673619785,1.7389316612801222,0.067,True,
2024-04-04,2024-05-09,35,743.4611206054688,740,1.0046771900073903,20.65,21.0,20.82410002737413,12.55,12.7,12.623972395842372,0.1795637112252536,5367,499,1.6807449039330014,1.1882155259575833,0.067,True,
2024-04-05,2024-05-09,34,754.1439208984375,750,1.0055252278645834,20.1,20.4,20.25149802709393,11.35,11.55,11.441331600086528,0.1692469423867454,5837,337,1.4813718945563203,1.7480482778638151,0.067,True,
2024-04-08,2024-05-09,31,752.7081298828125,750,1.00361083984375,18.05,18.3,18.16283120704537,11.1,11.3,11.199012896623174,0.1654903851053074,5230,253,1.3764373910110714,1.7858716821400111,0.067,True,
2024-04-09,2024-05-09,30,753.6572875976562,750,1.0048763834635417,17.7,17.95,17.819378185831454,9.95,10.1,10.043304776928949,0.1583584358827796,5333,289,1.4029670249592665,1.4935322917270613,0.067,True,
2024-04-10,2024-05-16,36,747.7196655273438,750,0.9969595540364583,16.35,16.6,16.45304569038251,13.7,13.9,13.79355547782751,0.1613394499645435,5310,486,1.5194755105198268,1.4499524819506588,0.067,True,
2024-04-12,2024-05-16,34,739.251220703125,740,0.998988136085304,16.8,17.05,16.938939667757722,13.0,13.2,13.08369004311038,0.1663449086218018,5457,318,1.4758893112764333,1.5286207433912382,0.067,True,
2024-04-15,2024-05-16,31,727.4491577148438,730,0.996505695499786,15.4,15.65,15.536803294037044,13.85,14.05,13.945442176319771,0.1743421301715853,4859,207,1.6090826102944156,1.4341603333282145,0.067,True,
2024-04-16,2024-05-16,30,734.5304565429688,730,1.006206104853382,19.0,19.3,19.15963965959844,10.55,10.7,10.620231593683345,0.1735224804521009,4741,437,1.5657914518747702,1.4123985779106265,0.067,True,
2024-04-18,2024-05-23,35,727.4491577148438,730,0.996505695499786,16.75,17.0,16.87577398107021,14.65,14.85,14.7516498756508,0.1759937962750504,5717,296,1.481413535642445,1.355780551232585,0.067,True,
2024-04-19,2024-05-23,34,745.2619018554688,750,0.9936825358072917,16.25,16.5,16.356052214592864,16.3,16.55,16.427904830554326,0.1806561601239502,4477,265,1.5284861941009829,1.5218008783142205,0.067,True,
2024-04-22,2024-05-23,31,735.9661254882812,740,0.9945488182274071,15.85,16.1,15.96776789115313,15.7,15.9,15.802696487630328,0.1856903047136271,5798,187,1.565654020675696,1.265606791578592,0.067,True,
2024-04-23,2024-05-23,30,733.7274169921875,730,1.0051060506742295,19.55,19.85,19.68465231763707,11.85,12.05,11.948283802503228,0.1858297241113078,5089,164,1.5240299658795924,1.673880561475281,0.067,True,
2024-04-24,2024-05-30,36,735.7227783203125,740,0.994219970703125,17.3,17.55,17.422913298553908,16.7,16.95,16.826174622166263,0.1858599396651772,5371,389,1.434892062630822,1.4857803726264556,0.067,True,
2024-04-25,2024-05-30,35,735.260498046875,740,0.9935952676309122,16.75,17.0,16.887377201042796,16.75,17.0,16.88787212810462,0.1859471495701203,4388,155,1.4803956649026735,1.4803522794559336,0.067,True,
2024-04-26,2024-05-30,34,734.7981567382812,730,1.0065728174497004,21.05,21.35,21.20257491912588,11.75,11.95,11.862605866369847,0.1811661787355101,4177,110,1.4149224853316489,1.6859702012606996,0.067,True,
2024-04-29,2024-05-30,31,744.3858642578125,740,1.0059268435916384,19.5,19.8,19.669745992419507,11.0,11.15,11.084935819365455,0.1742032718737141,5939,472,1.5251849216335445,1.353187807708813,0.067,True,
2024-04-30,2024-05-30,30,739.8109741210938,740,0.9997445596230997,16.7,16.95,16.837819845086074,12.85,13.05,12.962977056896024,0.1756242377712425,5975,453,1.4847527904448965,1.5428554653933095,0.067,True,
2024-05-02,2024-06-06,35,745.7242431640625,750,0.9942989908854166,16.35,16.6,16.475790323184583,15.85,16.05,15.948499497571676,0.176049728697912,4149,160,1.5173778926295405,1.2540364692644168,0.067,True,
2024-05-03,2024-06-06,34,739.567626953125,740,0.9994157120988175,18.05,18.3,18.16711375719626,13.9,14.1,13.99545788254892,0.1781470221053128,5712,405,1.3761129221804498,1.4290350603632722,0.067,True,
2024-05-06,2024-06-06,31,741.0520629882812,740,1.0014217067409206,17.85,18.1,17.982614732216632,12.65,12.85,12.731605828693771,0.1772214273064641,4772,255,1.3902316416317042,1.5708937481338812,0.067,True,
2024-05-07,2024-06-06,30,733.021728515625,730,1.004139354130993,18.75,19.0,18.869878165903515,11.75,11.95,11.83919812733228,0.1809351709058494,5330,359,1.3248628200034256,1.6893035985120823,0.067,True,
2024-05-08,2024-06-13,36,721.5845947265625,720,1.0022008260091146,19.7,20.0,19.84036313112557,13.4,13.6,13.513536706760249,0.1831612308068735,4404,219,1.5120690988228969,1.479997459879972,0.067,True,
2024-05-09,2024-06-13,35,704.4776000976562,700,1.0063965715680803,21.55,21.9,21.713589351564735,12.65,12.85,12.7531447697948,0.194950919806864,4176,392,1.6118937976266738,1.5682406466026286,0.067,True,
2024-05-10,2024-06-13,34,709.3616333007812,710,0.9991008919729314,18.7,18.95,18.824900341571208,14.95,15.15,15.045887940410523,0.1958477401231252,5687,431,1.3280282788425848,1.3292668454803347,0.067,True,
2024-05-13,2024-06-13,31,717.9208984375,720,0.9971123589409723,17.15,17.4,17.270827390402587,15.15,15.4,15.264468062397157,0.1949589174226727,4239,416,1.4475276392312575,1.637790448891277,0.067,True,
2024-05-14,2024-06-13,30,720.7328491210938,720,1.001017846001519,18.2,18.45,18.314176742679535,13.55,13.75,13.627293242789449,0.1930606332685437,5576,429,1.365062724427015,1.467642887231655,0.067,True,
2024-05-15,2024-06-20,36,709.6575317382812,710,0.9995176503356074,19.7,20.0,19.831576515542626,15.4,15.6,15.497677408594768,0.1983566681908627,4999,445,1.5127390390011677,1.2905159575013636,0.067,True,
2024-05-16,2024-06-20,35,720.3875122070312,720,1.0005382113986545,20.0,20.3,20.172813130823727,15.05,15.3,15.174375168704216,0.1980396064334521,4545,309,1.4871500472167942,1.647514294464015,0.067,True,
2024-05-17,2024-06-20,34,722.286865234375,720,1.0031762017144097,20.7,21.0,20.85949951086951,14.0,14.2,14.093038569067517,0.197277970364837,4439,145,1.4381936625261602,1.419140372176194,0.067,True,
2024-05-21,2024-06-20,30,719.6722412109375,720,0.9995447794596354,17.95,18.25,18.092740594946974,14.35,14.55,14.466465005213138,0.197521967530542,5543,203,1.6581235906504188,1.3825077510499562,0.067,True,
2024-05-22,2024-06-27,36,719.8695678710938,720,0.999818844265408,18.05,18.35,18.199557275819927,13.5,13.7,13.587757706923355,0.1756179491643559,4203,130,1.6483917463123294,1.4719132053561237,0.067,True,
2024-05-23,2024-06-27,35,736.3468017578125,740,0.9950632456186655,17.1,17.35,17.223126334553967,16.0,16.25,16.137317550678404,0.1834653505201205,5749,173,1.4515367021284429,1.5492041921768476,0.067,True,
2024-05-24,2024-06-27,34,748.4827270507812,750,0.9979769694010416,18.75,19.05,18.89835374837139,15.65,15.85,15.749381169020296,0.1900159693233599,5266,516,1.5874398584895464,1.269891164951978,0.067,True,
2024-05-27,2024-06-27,31,753.6627807617188,750,1.0048837076822916,20.75,21.05,20.911561491398288,12.9,13.1,12.993092302069783,0.1910884370486903,4312,227,1.4346130972734965,1.5392794521142557,0.067,True,
2024-05-28,2024-06-27,30,755.0441284179688,760,0.9934791163394325,15.9,16.1,15.997203647881292,16.65,16.9,16.779372274516334,0.1896648694990675,5591,250,1.2502185031975233,1.4899246283467196,0.067,True,
2024-05-29,2024-07-04,36,744.0921630859375,740,1.0055299501161317,22.45,22.75,22.595220344038808,13.55,13.75,13.629096902026165,0.1916134395558763,4992,299,1.3277144255827025,1.467448661035394,0.067,True,
2024-05-30,2024-07-04,35,747.3234252929688,750,0.9964312337239584,18.05,18.3,18.188241863613996,15.95,16.2,16.06176890909478,0.1855534625086428,5145,391,1.3745143806347269,1.5564910777569496,0.067,True,
2024-05-31,2024-07-04,34,755.5620727539062,760,0.9941606220446135,17.15,17.4,17.26206305006906,16.85,17.1,16.97152816054529,0.1861149085196166,5512,224,1.4482625817949368,1.4730553291081336,0.067,True,
2024-06-03,2024-07-04,31,775.6160278320312,780,0.9943795228615785,17.65,17.9,17.786731212103348,17.6,17.9,17.744787415357905,0.1970442370668766,4352,410,1.4055421258622405,1.690637329024019,0.067,True,
2024-06-04,2024-07-04,30,731.684814453125,730,1.0023079650042808,23.95,24.3,24.11444930091204,18.3,18.55,18.420683324840752,0.2537256669212888,4999,354,1.4514119548513345,1.3571700657970096,0.067,True,
2024-06-05,2024-07-11,36,765.5520629882812,770,0.9942234584263393,27.3,27.7,27.497486591564268,26.65,27.1,26.873870259799276,0.2836304671967727,4238,119,1.4546784073083658,1.6744889948849664,0.067,True,
2024-06-06,2024-07-11,35,769.4493408203125,770,0.999284858208198,28.9,29.35,29.11204263351192,24.55,24.9,24.731572880674207,0.283522549374452,4686,425,1.5457520644119684,1.415195069430847,0.067,True,
2024-06-07,2024-07-11,34,776.183349609375,780,0.9951068584735577,27.15,27.55,27.35995478151085,26.15,26.5,26.32370982242321,0.2842624415708,4238,301,1.4619907203586162,1.3295998260164017,0.067,True,
2024-06-10,2024-07-11,31,770.2387084960938,770,1.000310011033888,27.65,28.05,27.854585550191302,23.05,23.4,23.24670360175156,0.2855168271794914,5075,299,1.436029264478699,1.505589807466838,0.067,True,
2024-06-11,2024-07-11,30,771.9653930664062,770,1.0025524585278003,28.1,28.55,28.31311275829131,21.95,22.3,22.119099592338955,0.2854476922021672,5136,375,1.5893695752976496,1.5823428912143669,0.067,True,
